SiteID,Lat,Long
Site 1,27.68608,-98.21182
Site 2,27.68605,-98.20509
Site 3,27.68602,-98.1984
Site 4,27.68121,-98.21185
Site 5,27.68118,-98.20512
Site 6,27.68115,-98.19844
Site 7,27.67634,-98.21189
Site 8,27.67631,-98.20516
Site 9,27.67628,-98.19848
Site 10,27.67147,-98.21192
Site 11,27.67144,-98.2052
Site 12,27.67141,-98.19851
Site 13,27.6666,-98.21196
Site 14,27.66656,-98.20523
Site 15,27.66653,-98.19855
Site 16,27.66173,-98.212
Site 17,27.66169,-98.20527
Site 18,27.65685,-98.21203
Site 19,27.65682,-98.2053
Site 20,27.65204,-98.22436
Site 21,27.65201,-98.21848
Site 22,27.65198,-98.21274
Site 23,27.65195,-98.20534
Site 24,27.64717,-98.22439
Site 25,27.64714,-98.21851
Site 26,27.64711,-98.21277
Site 27,27.64708,-98.20537
